VAL, 1, 4001.20160713114, 4000.4338650465215
VAL, 2, 4001.20160713114, 4000.4338650465215
VAL, 3, 4001.20160713114, 4000.4338650465215
VAL, 4, 4001.20160713114, 4000.4338650465215
VAL, 5, 4001.20160713114, 4000.4338650465215
VAL, 6, 4001.20160713114, 4000.4338650465215
VAL, 7, 4001.20160713114, 4000.4338650465215
VAL, 8, 4001.20160713114, 4000.4338650465215
VAL, 9, 4001.20160713114, 4000.4338650465215
VAL, 10, 4001.20160713114, 4000.4338650465215
VAL, 11, 4001.20160713114, 4000.4338650465215
VAL, 12, 4001.20160713114, 4000.4338650465215
VAL, 13, 4005.2431062265096, 4000.4338650465215
VAL, 14, 4005.2431062265096, 4000.4338650465215
VAL, 15, 4005.2431062265096, 4000.4338650465215
VAL, 16, 4005.2431062265096, 4000.4338650465215
VAL, 17, 4005.2431062265096, 4000.4338650465215
VAL, 18, 4005.2431062265096, 4000.4338650465215
VAL, 19, 4005.2431062265096, 4000.4338650465215
VAL, 20, 4005.2431062265096, 4000.4338650465215
VAL, 21, 4005.2431062265096, 4000.4338650465215
VAL, 22, 4005.2431062265096, 4000.4338650465215
VAL, 23, 4005.2431062265096, 4000.4338650465215
VAL, 24, 4005.2431062265096, 4000.4338650465215
VAL, 25, 4005.2431062265096, 4000.4338650465215
VAL, 26, 4005.2431062265096, 4000.4338650465215
VAL, 27, 4005.2431062265096, 4000.4338650465215
VAL, 28, 4005.2431062265096, 4000.4338650465215
VAL, 29, 4005.2431062265096, 4000.4338650465215
VAL, 30, 4005.2431062265096, 4000.4338650465215
VAL, 31, 4009.2846053218796, 4002.4546145942063
VAL, 32, 4009.2846053218796, 4002.4546145942063
VAL, 33, 4009.2846053218796, 4002.4546145942063
VAL, 34, 4009.2846053218796, 4002.4546145942063
VAL, 35, 4009.2846053218796, 4002.4546145942063
VAL, 36, 4009.2846053218796, 4002.4546145942063
VAL, 37, 4008.4146182957065, 4000.7443505878173
VAL, 38, 4008.4146182957065, 4000.7443505878173
VAL, 39, 4008.4146182957065, 4000.7443505878173
VAL, 40, 4010.5630653948438, 4000.7443505878173
VAL, 41, 4010.5630653948438, 4000.7443505878173
VAL, 42, 4010.5630653948438, 4000.7443505878173
VAL, 43, 4010.5630653948438, 4000.7443505878173
VAL, 44, 4010.5630653948438, 4000.7443505878173
VAL, 45, 4010.5630653948438, 4000.7443505878173
VAL, 46, 4010.5630653948438, 4000.7443505878173
VAL, 47, 4017.008406692255, 4002.8927976869545
VAL, 48, 4019.156853791392, 4005.0412447860917
VAL, 49, 4027.257555968467, 4003.94168593826
VAL, 50, 4037.6446585443946, 4003.747188563449
VAL, 51, 4045.953376917055, 4004.9341483309718
VAL, 52, 4054.262095289715, 4004.9341483309718
VAL, 53, 4064.9447331974206, 4004.9341483309718
VAL, 54, 4074.4404113376036, 4004.9341483309718
VAL, 55, 4083.9360894777865, 4006.121108098495
VAL, 56, 4093.4317676179694, 4003.747188563449
VAL, 57, 4102.927445758152, 4004.9341483309718
VAL, 58, 4112.423123898336, 4002.5602287959264
VAL, 59, 4120.731842270996, 4004.9341483309718
VAL, 60, 4131.4144801787015, 4006.121108098495
VAL, 61, 4142.097118086407, 4004.9341483309718
VAL, 62, 4151.5927962265905, 4003.747188563449
VAL, 63, 4162.275434134296, 4002.5602287959264
VAL, 64, 4171.771112274479, 4002.5602287959264
VAL, 65, 4180.079830647139, 4004.9341483309718
VAL, 66, 4189.575508787322, 4004.9341483309718
VAL, 67, 4196.515021760875, 4000.871522541813
VAL, 68, 4203.10100608715, 4001.1775105017227
VAL, 69, 4209.836863871572, 4002.7857212388435
VAL, 70, 4216.861302381569, 4001.03014878702
VAL, 71, 4222.10326622661, 4001.4636712507818
VAL, 72, 4229.521044407123, 4002.0052861632475
VAL, 73, 4236.428332246771, 4001.3086308130437
VAL, 74, 4242.812358563254, 4000.6008758837374
VAL, 75, 4249.730473775172, 4001.2361487858466
VAL, 76, 4256.373632418434, 4000.1831130360224
VAL, 77, 4261.103375872032, 4000.7346865070554
VAL, 78, 4268.300251848782, 4002.621481063755
VAL, 79, 4276.3314200321865, 4001.3107651048113
VAL, 80, 4281.678587871323, 4002.7616646572433
VAL, 81, 4288.401488541126, 4002.5821480626137
VAL, 82, 4295.38710868644, 4002.524006100111
VAL, 83, 4302.478682211706, 4001.1063877733827
VAL, 84, 4309.486620500175, 4000.2002460704225
VAL, 85, 4317.416426701874, 4001.0218666634523
VAL, 86, 4324.416336100861, 4000.824022807537
VAL, 87, 4331.272310274586, 4002.244227764315
VAL, 88, 4338.660425554308, 4001.8850581840616
VAL, 89, 4345.24656520156, 4000.553365124001
VAL, 90, 4352.2102612062845, 4001.633616864535
VAL, 91, 4359.422623227351, 4002.161340432101
VAL, 92, 4366.230271225167, 4002.356838575054
VAL, 93, 4373.054655612161, 4003.563024703045
VAL, 94, 4380.376278871204, 4002.1040575300385
VAL, 95, 4388.22820721178, 4002.68584165363
VAL, 96, 4395.508048210132, 4003.300756120234
VAL, 97, 4402.205127658677, 4002.8020658560067
VAL, 98, 4409.447486884501, 4002.8221704460784
VAL, 99, 4416.0320488247235, 4001.46182515213
VAL, 100, 4423.788155768038, 4001.223004272031
VAL, 101, 4431.831427060714, 4002.867148700123
VAL, 102, 4438.168306768343, 4001.0835174200715
VAL, 103, 4445.663400722787, 4001.6456570031373
VAL, 104, 4452.0147624714455, 4000.0843434455874
VAL, 105, 4460.286801742477, 4000.8120141515424
VAL, 106, 4468.831512446447, 4001.487158505565
